iter	Passed	Remaining
0	15	15983
1	20	10114
2	24	8283
3	30	7602
4	35	7006
5	39	6522
6	45	6394
7	50	6231
8	54	6019
9	59	5862
10	77	6931
11	91	7498
12	95	7258
13	99	7035
14	104	6853
15	108	6685
16	137	7978
17	142	7763
18	147	7616
19	168	8262
20	173	8065
21	183	8136
22	187	7951
23	191	7788
24	196	7649
25	200	7519
26	204	7384
27	209	7288
28	228	7650
29	232	7530
30	237	7414
31	242	7337
32	260	7622
33	265	7530
34	269	7437
35	274	7343
36	289	7536
37	305	7732
38	310	7654
39	315	7562
40	319	7478
41	324	7392
42	328	7306
43	332	7228
44	337	7154
45	342	7095
46	347	7052
47	352	6981
48	356	6919
49	360	6855
50	365	6796
51	369	6735
52	373	6680
53	378	6639
54	383	6587
55	387	6536
56	392	6492
57	424	6900
58	429	6845
59	440	6900
60	445	6860
61	449	6807
62	454	6766
63	459	6720
64	463	6672
65	468	6632
66	473	6589
67	500	6864
68	505	6817
69	509	6775
70	532	6963
71	536	6914
72	541	6877
73	547	6849
74	561	6930
75	565	6878
76	570	6834
77	575	6800
78	591	6895
79	595	6853
80	600	6810
81	604	6762
82	608	6724
83	636	6937
84	640	6898
85	645	6863
86	667	7007
87	671	6962
88	675	6917
89	696	7044
90	700	6997
91	704	6949
92	708	6905
93	713	6872
94	716	6829
95	720	6786
96	724	6745
97	728	6706
98	732	6666
99	736	6625
100	740	6586
101	756	6661
102	760	6622
103	764	6584
104	767	6544
105	771	6508
106	776	6479
107	780	6450
108	785	6422
109	792	6410
110	796	6378
111	800	6345
112	804	6312
113	808	6283
114	812	6254
115	816	6222
116	832	6281
117	860	6435
118	864	6401
119	869	6372
120	878	6382
121	890	6411
122	894	6379
123	905	6397
124	909	6366
125	913	6334
126	917	6306
127	927	6316
128	933	6303
129	937	6277
130	941	6248
131	945	6220
132	950	6194
133	954	6171
134	959	6148
135	965	6134
136	971	6122
137	978	6111
138	983	6089
139	994	6109
140	999	6088
141	1003	6060
142	1024	6140
143	1029	6118
144	1040	6132
145	1055	6173
146	1069	6204
147	1073	6179
148	1077	6153
149	1083	6137
150	1102	6198
151	1109	6188
152	1113	6164
153	1117	6138
154	1121	6111
155	1124	6085
156	1128	6061
157	1161	6191
158	1165	6167
159	1169	6140
160	1173	6116
161	1192	6166
162	1195	6141
163	1199	6114
164	1203	6088
165	1206	6063
166	1210	6037
167	1214	6013
168	1219	5994
169	1236	6036
170	1239	6010
171	1243	5987
172	1247	5963
173	1252	5943
174	1257	5925
175	1261	5907
176	1265	5884
177	1269	5861
178	1273	5839
179	1277	5819
180	1311	5936
181	1315	5914
182	1326	5920
183	1329	5897
184	1333	5874
185	1337	5853
186	1341	5830
187	1344	5808
188	1348	5786
189	1353	5768
190	1370	5804
191	1374	5782
192	1377	5761
193	1381	5740
194	1386	5724
195	1415	5806
196	1419	5788
197	1430	5794
198	1434	5773
199	1445	5780
200	1448	5759
201	1453	5740
202	1460	5734
203	1464	5714
204	1475	5722
205	1480	5705
206	1484	5685
207	1505	5733
208	1509	5712
209	1513	5692
210	1518	5676
211	1523	5661
212	1526	5640
213	1530	5621
214	1534	5601
215	1537	5581
216	1541	5562
217	1545	5543
218	1551	5532
219	1580	5603
220	1585	5587
221	1590	5572
222	1594	5554
223	1598	5537
224	1602	5518
225	1605	5498
226	1610	5483
227	1613	5464
228	1618	5449
229	1624	5438
230	1628	5420
231	1632	5404
232	1636	5386
233	1640	5369
234	1644	5351
235	1647	5334
236	1652	5319
237	1670	5348
238	1674	5330
239	1678	5313
240	1683	5301
241	1688	5288
242	1692	5271
243	1696	5255
244	1730	5334
245	1735	5317
246	1739	5301
247	1743	5286
248	1747	5269
249	1752	5256
250	1756	5241
251	1760	5224
252	1763	5208
253	1767	5191
254	1771	5176
255	1791	5205
256	1795	5190
257	1799	5174
258	1803	5160
259	1807	5145
260	1812	5130
261	1820	5128
262	1824	5112
263	1828	5096
264	1831	5081
265	1836	5066
266	1840	5051
267	1843	5036
268	1848	5024
269	1865	5043
270	1869	5028
271	1872	5012
272	1876	4998
273	1881	4984
274	1894	4995
275	1899	4981
276	1902	4966
277	1907	4953
278	1925	4975
279	1929	4961
280	1933	4946
281	1937	4932
282	1941	4918
283	1945	4904
284	1950	4893
285	1955	4881
286	1960	4869
287	1969	4869
288	2000	4921
289	2004	4907
290	2016	4912
291	2021	4902
292	2045	4936
293	2049	4922
294	2054	4908
295	2057	4894
296	2061	4879
297	2065	4864
298	2068	4849
299	2072	4835
300	2076	4823
301	2080	4809
302	2085	4797
303	2089	4784
304	2094	4772
305	2098	4760
306	2103	4748
307	2107	4734
308	2111	4721
309	2115	4709
310	2136	4732
311	2139	4718
312	2143	4704
313	2147	4691
314	2165	4710
315	2169	4696
316	2173	4682
317	2177	4670
318	2182	4658
319	2186	4647
320	2191	4634
321	2195	4622
322	2199	4609
323	2203	4596
324	2206	4583
325	2210	4570
326	2214	4558
327	2222	4552
